datasetid,publicationid,primarypub,year,citation,articletitle,journal,volume,issue,pages,doi,url
25610,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25611,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25612,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25613,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25614,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25615,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25616,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25617,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25618,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25619,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25620,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25621,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25622,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25623,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25624,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25625,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25626,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25627,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25628,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25629,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25630,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25631,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25632,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25633,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
25634,11299,True,2013,"Amesbury, M.J., G. Mallon, D.J. Charman, P.D.M. Hughes, R.K. Booth, T.J. Daley, and M. Garneau. 2013. Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States. Journal of Quaternary Science 28(1):27-39. [DOI: 10.1002/jqs.2584]","Statistical testing of a new testate amoeba-based transfer function for water-table depth reconstruction on ombrotrophic peatlands in north-eastern Canada and Maine, United States",Journal of Quaternary Science,28,1,27-39,10.1002/jqs.2584,
