datasetid,datasettype,datasetname,siteid,sitename,collectionunitid,collectionunit,handle,unittype,geography,altitude,doi
27183,testate amoebae surface sample,,1118,Keystone Iron Fen,19931,KS1,KS1,Modern,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[-107.03333,38.865]}",2881,10.21233/w3mf-qg98
27184,testate amoebae surface sample,,1118,Keystone Iron Fen,19932,KS10,KS10,Modern,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[-107.03333,38.865]}",2881,10.21233/n3dk-8k73
27185,testate amoebae surface sample,,1118,Keystone Iron Fen,19933,KS2,KS2,Modern,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[-107.03333,38.865]}",2881,10.21233/dr9x-q211
27186,testate amoebae surface sample,,1118,Keystone Iron Fen,19934,KS3,KS3,Modern,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[-107.03333,38.865]}",2881,10.21233/v37v-aq31
27187,testate amoebae surface sample,,1118,Keystone Iron Fen,19935,KS5,KS5,Modern,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[-107.03333,38.865]}",2881,10.21233/tqdw-2e40
27188,testate amoebae surface sample,,1118,Keystone Iron Fen,19936,KS6,KS6,Modern,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[-107.03333,38.865]}",2881,10.21233/zx5w-b939
27189,testate amoebae surface sample,,1118,Keystone Iron Fen,19937,KS7,KS7,Modern,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[-107.03333,38.865]}",2881,10.21233/gwkm-eb76
27190,testate amoebae surface sample,,1118,Keystone Iron Fen,19938,KS8,KS8,Modern,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[-107.03333,38.865]}",2881,10.21233/t890-es50
27191,testate amoebae surface sample,,1118,Keystone Iron Fen,19939,KS9,KS9,Modern,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[-107.03333,38.865]}",2881,10.21233/670a-yx77
27615,testate amoebae surface sample,,2504,Splains Lake,20358,SGL1,SGL1,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-107.08325,38.82933],[-107.07314,38.82933],[-107.07314,38.83395],[-107.08325,38.83395],[-107.08325,38.82933]]]}",3167,10.21233/jfv8-1293
27616,testate amoebae surface sample,,2504,Splains Lake,20359,SGL2,SGL2,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-107.08325,38.82933],[-107.07314,38.82933],[-107.07314,38.83395],[-107.08325,38.83395],[-107.08325,38.82933]]]}",3167,10.21233/7kh9-cn80
27617,testate amoebae surface sample,,2504,Splains Lake,20360,SGL3,SGL3,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-107.08325,38.82933],[-107.07314,38.82933],[-107.07314,38.83395],[-107.08325,38.83395],[-107.08325,38.82933]]]}",3167,10.21233/zrdc-fr08
27618,testate amoebae surface sample,,2504,Splains Lake,20361,SGL4,SGL4,Modern,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-107.08325,38.82933],[-107.07314,38.82933],[-107.07314,38.83395],[-107.08325,38.83395],[-107.08325,38.82933]]]}",3167,10.21233/z8p1-qv41
