datasetid,siteid,sitename,collectionunitid,collectionunit,handle,datasettype,sampleid,samplename,depth,altitude,geography,waterdepth_site,pH,pH_units,water_table_depth,water_table_depth_units
25955,2536,Tannersville Bog,18866,TA12,TANNER12,testate amoebae surface sample,266538,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.51,,20.5,cm
25989,2536,Tannersville Bog,18900,TA48,TANNER48,testate amoebae surface sample,266572,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,5.3,,3.0,cm
27184,1118,Keystone Iron Fen,19932,KS10,KS10,testate amoebae surface sample,272782,,,2881,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[-107.03333,38.865]}",,3.7,,1.0,cm
25956,2536,Tannersville Bog,18867,TA13,TANNER13,testate amoebae surface sample,266539,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.5,,13.0,cm
25990,2536,Tannersville Bog,18901,TA49,TANNER49,testate amoebae surface sample,266573,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.99,,7.0,cm
27190,1118,Keystone Iron Fen,19938,KS8,KS8,testate amoebae surface sample,272788,,,2881,"{""type"":""Point"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[-107.03333,38.865]}",,3.3,,13.0,cm
25957,2536,Tannersville Bog,18868,TA15,TANNER15,testate amoebae surface sample,266540,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.46,,27.0,cm
45065,9691,Ballyduff,31966,IR 1,BAL_IR1,testate amoebae surface sample,382649,,,49,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-8.0026,53.07696],[-7.98148,53.07696],[-7.98148,53.08753],[-8.0026,53.08753],[-8.0026,53.07696]]]}",,4.1,Unit,25.0,cm
25958,2536,Tannersville Bog,18869,TA16,TANNER16,testate amoebae surface sample,266541,,,279,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-75.27217,41.03345],[-75.25552,41.03345],[-75.25552,41.0443],[-75.27217,41.0443],[-75.27217,41.03345]]]}",,4.62,,14.0,cm
45066,9691,Ballyduff,31967,IR 2,BAL_IR2,testate amoebae surface sample,382650,,,49,"{""type"":""Polygon"",""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""coordinates"":[[[-8.0026,53.07696],[-7.98148,53.07696],[-7.98148,53.08753],[-8.0026,53.08753],[-8.0026,53.07696]]]}",,4.1,Unit,15.0,cm
